timestamp_utc,rule_path,rule_id,schema_valid,validation_message,compare_path,similarity_percentage,manual_validation
2026-06-11T10:39:47+00:00,json_rules/fbi_rules/requirements/satisfy_d1_1_bridge.json,satisfy_d1_1_bridge,true,valid,json_rules/requirements/satisfy_d1_1_bridge.json,46.43,
2026-06-11T10:45:00+00:00,json_rules/fbi_rules/requirements/satisfy_d2_1_girder.json,satisfy_d2_1_girder,true,valid,json_rules/requirements/satisfy_d2_1_girder.json,57.14,
2026-06-11T10:45:03+00:00,json_rules/fbi_rules/requirements/satisfy_d2_1_1_girder_element.json,satisfy_d2_1_1_girder_element,true,valid,json_rules/requirements/satisfy_d2_1_1_girder_element.json,57.14,
2026-06-11T10:45:03+00:00,json_rules/fbi_rules/substructure/decompose_substructure_abutment.json,decompose_substructure_abutment,true,valid,json_rules/substructure/decompose_substructure_abutment.json,57.14,
2026-06-11T10:45:52+00:00,json_rules/fbi_rules/superstructure/refine_girder_d1_to_d2.json,refine_girder_d1_to_d2,true,valid,json_rules/superstructure/refine_girder_d1_to_d2.json,50.00,
2026-06-11T10:46:51+00:00,json_rules/fbi_rules/substructure/decompose_abutment_d1_if1.json,decompose_abutment_d1_if1,true,valid,json_rules/substructure/decompose_abutment_d1_if1.json,62.76,
2026-06-11T10:46:52+00:00,json_rules/fbi_rules/substructure/decompose_abutment_d1_if2.json,decompose_abutment_d1_if2,true,valid,json_rules/substructure/decompose_abutment_d1_if2.json,66.92,
2026-06-11T10:47:45+00:00,json_rules/fbi_rules/substructure/decompose_abutment_d1_if1_if2.json,decompose_abutment_d1_if1_if2,true,valid,json_rules/substructure/decompose_abutment_d1_if1_if2.json,66.73,
2026-06-11T10:52:52+00:00,json_rules/fbi_rules/modules/girder/grow_girder_module_d3.json,grow_girder_module_d3,true,valid,json_rules/modules/girder/grow_girder_module_d3.json,66.67,
2026-06-11T10:52:52+00:00,json_rules/fbi_rules/modules/girder/seed_girder_module_d3.json,seed_girder_module_d3,true,valid; similarity comparison failed ([Errno 2] No such file or directory: '/Users/benedict/repos/ReqREATE/json_rules/girder_module_d3.json'),json_rules/girder_module_d3.json,,
2026-06-11T10:53:09+00:00,json_rules/fbi_rules/modules/girder/seed_girder_module_d3.json,seed_girder_module_d3,true,valid,json_rules/modules/girder/seed_girder_module_d3.json,50.00,
2026-06-11T10:53:16+00:00,json_rules/fbi_rules/modules/attachments/attach_kappe_d3_if5.json,attach_kappe_d3_if5,true,valid,json_rules/modules/attachments/attach_kappe_d3_if5.json,64.88,
2026-06-11T10:53:19+00:00,json_rules/fbi_rules/modules/attachments/attach_kappe_d3_if6.json,attach_kappe_d3_if6,true,valid,json_rules/modules/attachments/attach_kappe_d3_if6.json,57.14,
2026-06-11T10:53:36+00:00,json_rules/fbi_rules/modules/attachments/attach_expansion_d3_if1.json,attach_expansion_d3_if1,true,valid,json_rules/modules/attachments/attach_expansion_d3_if1.json,68.45,
2026-06-11T10:53:44+00:00,json_rules/fbi_rules/modules/attachments/attach_expansion_d3_if2.json,attach_expansion_d3_if2,true,valid,json_rules/modules/attachments/attach_expansion_d3_if2.json,68.45,
2026-06-11T10:53:45+00:00,json_rules/fbi_rules/modules/attachments/attach_fahrbahn_d3_if2.json,attach_fahrbahn_d3_if2,true,valid,json_rules/modules/attachments/attach_fahrbahn_d3_if2.json,68.45,
2026-06-11T10:53:48+00:00,json_rules/fbi_rules/modules/foundation/attach_foundation_d2_middle_wall.json,attach_foundation_d2_middle_wall,true,valid,json_rules/modules/foundation/attach_foundation_d2_middle_wall.json,54.17,
